Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
migrant,USA Today,"Arizona Republic, Daniel Gonzalez, Arizona Republic","124 immigrant children held in 3 Phoenix hotels under Trump policy, court records show",https://www.usatoday.com/story/travel/hotels/2020/09/24/under-trump-policy-124-immigrant-children-held-hotels-phoenix-court-records-show/3514509001/,"Albert Law says he was floored by a question from a security guard after checking into a Hilton hotel in Richmond, Virginia.
USA TODAY
A federal judge has given the Trump administration until Sept.… [+9677 chars]",2020-09-24T11:35:59Z,0.0,0.0,0.0,1.0
migrant,USA Today,"USA TODAY, Bart Jansen and Zac Anderson, USA TODAY","'We have to do better': Biden knocks Trump, touts health care plans for veterans in Florida",https://www.usatoday.com/story/news/politics/elections/2020/09/15/joe-biden-florida-campaign-veterans-healthcare-hispanics-donald-trump/5763262002/,"Former vice president Joe Biden says hes ashamed of Trumps immigration policy that led to a national scandal over the separation of migrant children and parents at the border.
TAMPA  Democratic pres… [+6709 chars]",2020-09-15T19:28:06Z,0.4767,0.06,0.175,0.765
migrant,NBC News,Didi Martinez and Gabe Gutierrez and Christine Romo and Nicole Suarez,From the fields to the classroom: Inside the lives of U.S. agriculture's youngest workers,https://www.nbcnews.com/news/education/fields-classroom-inside-lives-u-s-agriculture-s-youngest-workers-n1240159,"Migrant and seasonal child laborers run the risk of being overlooked by the education system, several educators told NBC News. However, there are also people at the state and federal level working to… [+4242 chars]",2020-09-22T12:00:21Z,0.0,0.0,0.0,1.0
migrant,NBC News,Daniella Silva,Mexico says 2 women may have had nonconsensual surgery in ICE detention,https://www.nbcnews.com/news/us-news/mexico-says-2-women-may-have-had-nonconsensual-surgery-ice-n1243427,"Mexico said it has identified two migrant women who may have undergone surgery without their consent while being detained by U.S. immigration authorities.
Mexicos Foreign Ministry announced the find… [+2538 chars]",2020-10-14T22:24:55Z,-0.3612,0.2,0.0,0.8
migrant,NBC News,The Associated Press,"Guatemala says it will detain, return new migrant caravan from Honduras",https://www.nbcnews.com/news/latino/guatemala-says-it-will-detain-return-new-migrant-caravan-honduras-n1241811,"MORALES, GuatemalaGuatemala vowed to detain and return members of a new caravan of about 2,000 migrants that set out from neighboring Honduras in hopes of reaching the United States, saying they repr… [+6036 chars]",2020-10-02T13:47:09Z,-0.4215,0.219,0.0,0.781
migrant,NBC News,David Michaels,How to determine which Americans get the first Covid vaccine,https://www.nbcnews.com/think/opinion/who-should-get-america-s-covid-19-vaccine-first-ncna1242766,"If and when the Food and Drug Administration (FDA) announces that we have a Covid-19 vaccine that works, we will not have enough for everyone in the country who wants it. At least not initially. So h… [+6123 chars]",2020-10-12T08:30:49Z,0.0,0.0,0.0,1.0
migrant,NBC News,The Associated Press,Venezuelans start fleeing country again after months of Covid lockdowns,https://www.nbcnews.com/news/latino/venezuelans-start-fleeing-country-again-after-months-covid-lockdowns-n1242712,"PAMPLONA, Colombia Eleazar Hernández slept on a sidewalk amid a light drizzle, temperatures that dipped close to freezing and the roar of passing trucks.
The 23-year-old Venezuelan migrant was tryin… [+4894 chars]",2020-10-09T14:59:05Z,0.0,0.0,0.0,1.0
migrant,NBC News,The Associated Press,"Despite coronavirus impact, U.S. Mexican workers send big amounts of money back home",https://www.nbcnews.com/news/latino/despite-coronavirus-impact-u-s-mexican-workers-send-big-amounts-n1241794,"The coronavirus pandemic stopped work for nearly a month at the California farm where Luis earns $80 a day picking tomatoes, but that didnt stop him from sending $800 to family in Mexico.
The money … [+5491 chars]",2020-10-02T12:36:32Z,0.0,0.0,0.0,1.0
migrant,NBC News,Patrice Gaines,How this artist turned a lynching tree into guitars,https://www.nbcnews.com/news/nbcblk/why-artist-built-guitars-out-tree-was-once-used-lynching-n1242580,"The creative process begins as soon as Freeman Vines touches the wood.
""Nobody believes me. The wood actually lives. Each wood has an inner spirit, and if you listen you will find some magnificent s… [+5754 chars]",2020-10-08T09:00:16Z,0.0,0.0,0.0,1.0
migrant,NBC News,Julia Ainsley,DHS awarded $6 million in contracts to firm where Acting Secretary Wolf's wife is executive,https://www.nbcnews.com/politics/national-security/dhs-awarded-6-million-contracts-firm-where-acting-secretary-wolf-n1240773,WASHINGTON The consulting firm where the wife of acting Homeland Security Secretary Chad Wolf is an executive has been awarded more than $6 million in contracts from the Department of Homeland Securi… [+2385 chars],2020-09-23T10:00:26Z,0.4019,0.0,0.162,0.838
migrant,NBC News,Julia Ainsley,Democrats demand answers from Azar after NBC News report on family separation vote,https://www.nbcnews.com/politics/immigration/democrats-demand-answers-azar-after-nbc-news-report-family-separation-n1240335,A congressional committee is asking for answers from Health and Human Services Secretary Alex Azar following NBC News reporting that he and other Trump administration officials were invited to a May … [+2882 chars],2020-09-17T18:36:09Z,-0.128,0.111,0.0,0.889
migrant,NBC News,Raul A. Reyes,Resilience amid violence: Author digs into El Salvador's and his family's past,https://www.nbcnews.com/news/latino/unforgetting-roberto-lovato-traces-el-salvador-s-his-family-s-n1240468,"The drawing that the child migrant showed the journalist Roberto Lovato featured turquoise clouds, stick people and a big white moon.
Here is how I hope we can live here, said David, a 6-year-old in… [+6672 chars]",2020-09-23T19:35:00Z,-0.6249,0.272,0.0,0.728
migrant,NBC News,Julia Ainsley and Jacob Soboroff,Officials said in 2017 that separated migrants under 12 couldn't find parents again on their own,https://www.nbcnews.com/politics/immigration/officials-said-2017-separated-migrants-under-12-couldn-t-find-n1242439,"WASHINGTON Federal prosecutors who ran a 2017 ""pilot"" program for migrant family separation determined that children younger than 12 should not be separated because most could not find their way back… [+5226 chars]",2020-10-09T09:00:04Z,0.0,0.0,0.0,1.0
migrant,NBC News,Daniella Silva,Acting DHS secretary calls claims of manipulating intelligence reports 'patently false',https://www.nbcnews.com/news/us-news/acting-dhs-secretary-chad-wolf-calls-whistleblower-claims-manipulating-intelligence-n1240864,"Acting Homeland Security Secretary Chad Wolf faced a range of tough allegations Wednesday before a Senate panel on how the department handled intelligence assessments, a contract awarded to his wifes… [+4609 chars]",2020-09-23T19:48:05Z,0.1531,0.171,0.212,0.616
migrant,MSNBC,MSNBC.com,"Whistleblower alleges hysterectomies, abuse of detained migrant women",https://www.msnbc.com/msnbc/watch/whistleblower-alleges-hysterectomies-abuse-of-detained-migrant-women-91869765816,,2020-09-16T10:55:39Z,-0.7845,0.535,0.0,0.465
migrant,MSNBC,MSNBC.com,New reporting shows dark origins of Trump administration’s ongoing migrant family separation policy,https://www.msnbc.com/american-voices/watch/new-reporting-shows-dark-origins-of-trump-administration-s-ongoing-migrant-family-separation-policy-93607493966,,2020-10-11T00:26:55Z,0.0,0.0,0.0,1.0
migrant,MSNBC,MSNBC.com,Officials in 2017: Migrant children under 12 can't find their parents if separated,https://www.msnbc.com/msnbc/watch/officials-in-2017-migrant-children-under-12-can-t-find-their-parents-if-separated-93520453978,,2020-10-09T15:29:16Z,0.0,0.0,0.0,1.0
migrant,Fox News,Brie Stimson,Hondurans in migrant caravan bused back after entering Guatemala,https://www.foxnews.com/world/hondurans-in-migrant-caravan-bused-back-after-entering-guatemala,"Hundreds of Honduranmigrants bound for the U.S. were bused back to their homeland by Saturday morning after illegally entering Guatemala.
The group of mostly young men and some small children were m… [+3537 chars]",2020-10-04T10:02:30Z,0.0,0.0,0.0,1.0
