Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
refugee,USA Today,"USA TODAY, Laura Packard, Opinion contributor","I'm a cancer survivor, but I might not survive Amy Coney Barrett on the Supreme Court",https://www.usatoday.com/story/opinion/voices/2020/10/14/affordable-care-act-amy-coney-barrett-obamacare-column/5979031002/,"If President Donald Trump's nominee is confirmed on the court, the Affordable Care Act is on the chopping block and so is my life.
Losing Justice Ruth Bader Ginsburg was an incalculable blow for our… [+6417 chars]",2020-10-14T09:00:30Z,0.6059,0.133,0.327,0.541
refugee,USA Today,"USA TODAY, Dr. Joshua Barocas and Dr. Stefan Baral, Opinion contributors","From Trump on down, people of means have shaped our COVID-19 experience. That must change.",https://www.usatoday.com/story/opinion/2020/10/07/covid-19-focus-struggling-people-not-rich-famous-like-trump-column/3636275001/,"White House butlers, maids, plumbers, florists, doormen and cooks were not in that Rose Garden photo and their positive COVID tests don't make headlines.
When a stone is thrown into a pond, it cause… [+6488 chars]",2020-10-07T09:01:59Z,0.0,0.0,0.0,1.0
refugee,USA Today,"USA TODAY, Megan Sauer, USA TODAY","Rep. Justin Amash, the ex-Republican who tussled with Trump and the GOP, reflects on what's next",https://www.usatoday.com/story/news/politics/elections/2020/09/26/justin-amash-whats-next-ex-republican-and-trump-foe/3491245001/,"Michigan Congressman Justin Amash threw his future into question when he announced hes quitting the Republican Party over a partisan death spiral. Nathan Rousseau Smith has the details.
Buzz60
Ther… [+7897 chars]",2020-09-26T12:58:23Z,0.0,0.0,0.0,1.0
refugee,USA Today,"USA TODAY, Ko Bragg, The 19th",'It's getting worse': Frontline female firefighter on this year's historic season,https://www.usatoday.com/story/news/politics/2020/09/24/its-getting-worse-female-firefighter-2020-fire-season/5826985002/,"This story was published in partnership with The 19th, a nonprofit, nonpartisan newsroom reporting on gender, politics and policy. 
Eleonore Jordan Anderson, 32, was working for the Pacific Crest Tr… [+12612 chars]",2020-09-24T11:00:25Z,0.0,0.0,0.0,1.0
refugee,USA Today,"USA TODAY, Carly Mallenbaum, USA TODAY",Everything coming to Netflix in October: From Adam Sandler's new movie to more 'Schitt's Creek',https://www.usatoday.com/story/entertainment/tv/2020/09/23/new-netflix-october-horror-adam-sandler-more-schitts-creek/3497487001/,"6 new and returning shows coming to tv this fall include ""Fargo"" on FX and ""Ratched"" on Netflix.
USA TODAY
There may be plenty of aspects of Halloween that are canceled this year, but horror is not… [+12351 chars]",2020-09-23T14:00:19Z,0.0,0.0,0.0,1.0
refugee,USA Today,"Arizona Republic, Daniel Gonzalez, Arizona Republic","124 immigrant children held in 3 Phoenix hotels under Trump policy, court records show",https://www.usatoday.com/story/travel/hotels/2020/09/24/under-trump-policy-124-immigrant-children-held-hotels-phoenix-court-records-show/3514509001/,"Albert Law says he was floored by a question from a security guard after checking into a Hilton hotel in Richmond, Virginia.
USA TODAY
A federal judge has given the Trump administration until Sept.… [+9677 chars]",2020-09-24T11:35:59Z,0.0,0.0,0.0,1.0
refugee,NBC News,Kimmy Yam,"Asian American voters support Biden at 54% and Trump at 30%, but numbers don't tell full story",https://www.nbcnews.com/news/asian-america/asian-american-voters-support-biden-54-trump-30-numbers-don-n1240263,"With less than two months until the presidential election, Asian American and Pacific Islander voters are favoring Democratic candidate Joe Biden, according to a survey published Tuesday that examine… [+6756 chars]",2020-09-16T22:57:49Z,0.2144,0.0,0.104,0.896
refugee,NBC News,Victoria Namkung,First Asian American Pulitzer board member on how his new role transcends literature,https://www.nbcnews.com/news/asian-america/viet-thanh-nguyen-1st-asian-american-pulitzer-board-member-how-n1240844,"Viet Thanh Nguyen's life changed when he won the Pulitzer Prize for fiction in 2016 for his startling debut novel, ""The Sympathizer."" In recent years, Nguyen, the hypervisible Aerol Arnold Chair of E… [+6254 chars]",2020-09-29T16:03:01Z,0.0,0.0,0.0,1.0
refugee,NBC News,Janelle Griffith,Colorado officer who pointed gun at doctor's head on his own property suspended 1 week,https://www.nbcnews.com/news/us-news/colorado-officer-who-pointed-gun-doctor-s-head-his-own-n1240336,"A police officer in Aurora, Colorado, who pointed a gun at an Indian American doctor trying to park at a refugee center he owns and operates has been suspended for 40 hours without pay.
Officer Just… [+6079 chars]",2020-09-17T21:26:00Z,-0.6705,0.314,0.0,0.686
refugee,NBC News,Ani Bundel,Chris Rock is the surprise highlight of 'Fargo's' ambitious new season,https://www.nbcnews.com/think/opinion/fargo-chris-rock-isn-t-most-exciting-season-it-may-ncna1241184,"The 1996 film Fargo was perhaps not the obvious choice for a prestige TV series, given how rare it is for award-winning, acclaimed films to get turned into successful TV shows. But the resulting anth… [+5649 chars]",2020-09-27T18:19:44Z,0.765,0.0,0.487,0.513
refugee,NBC News,Abigail Williams and Saphora Smith,Trump plans to slash refugee admissions to U.S. to a record low,https://www.nbcnews.com/news/us-news/trump-plans-slash-refugee-admissions-u-s-record-low-n1241672,"The Trump administration has proposed to further slash the number of refugees admitted to the United States in the coming fiscal year to a record low.
The administration intends to admit up to 15,00… [+3706 chars]",2020-10-01T13:10:53Z,-0.4939,0.318,0.0,0.682
refugee,NBC News,Chuck Todd and Mark Murray and Carrie Dann and Melissa Holzberg,Trump's positive test guarantees the coronavirus will dominate the final weeks of campaign,https://www.nbcnews.com/politics/meet-the-press/trump-s-positive-test-ensures-coronavirus-will-dominate-last-weeks-n1241807,"WASHINGTON At least 7.3million Americans have had the coronavirus, according to the latest figures. And late last night, we learned two of them were the president of the United States and the first l… [+7310 chars]",2020-10-02T13:32:00Z,0.4767,0.093,0.224,0.683
refugee,NBC News,Lakshmi Gandhi,"In many Asian languages, 'LGBTQ' doesn't translate. Here's how some fill the gaps.",https://www.nbcnews.com/news/asian-america/many-asian-languages-lgbtq-doesn-t-translate-here-s-how-n1242314,"For writer and artist Trung Le Nguyen, sharing stories was always a way for his family to learn and grow together.
Nguyen, who was born in a Vietnamese refugee camp in the Philippines, moved to the … [+8354 chars]",2020-10-10T13:38:59Z,0.0,0.0,0.0,1.0
refugee,NBC News,Alasdair Lane and Adela Suliman,'A crisis of humanity': Migrants take on treacherous journey from France to Britain,https://www.nbcnews.com/news/world/crisis-humanity-migrants-take-treacherous-journey-france-britain-n1239652,"LONDON Clad head to toe in newly bought all-black clothes that held no scent, as instructed by the smugglers who bundled him into the back of a truck, this is how Md Mominul Hamid's life in Britain b… [+7182 chars]",2020-09-20T08:30:23Z,-0.6249,0.255,0.0,0.745
refugee,NBC News,Chuck Todd and Mark Murray and Carrie Dann and Melissa Holzberg,Biden outspent Trump $153 million to $57 million on ads in a single month,https://www.nbcnews.com/politics/meet-the-press/biden-outspent-trump-153-million-57-million-ads-single-month-n1241681,"WASHINGTON Weve told you how Joe Biden passed President Trump in the money race. Now lets show you how Biden is spending his money and how Trump isnt, at least over the advertising airwaves.
In the … [+4688 chars]",2020-10-01T12:58:00Z,0.0,0.0,0.0,1.0
refugee,NBC News,Daniella Silva,Acting DHS secretary calls claims of manipulating intelligence reports 'patently false',https://www.nbcnews.com/news/us-news/acting-dhs-secretary-chad-wolf-calls-whistleblower-claims-manipulating-intelligence-n1240864,"Acting Homeland Security Secretary Chad Wolf faced a range of tough allegations Wednesday before a Senate panel on how the department handled intelligence assessments, a contract awarded to his wifes… [+4609 chars]",2020-09-23T19:48:05Z,0.1531,0.171,0.212,0.616
refugee,NBC News,Raul A. Reyes,Resilience amid violence: Author digs into El Salvador's and his family's past,https://www.nbcnews.com/news/latino/unforgetting-roberto-lovato-traces-el-salvador-s-his-family-s-n1240468,"The drawing that the child migrant showed the journalist Roberto Lovato featured turquoise clouds, stick people and a big white moon.
Here is how I hope we can live here, said David, a 6-year-old in… [+6672 chars]",2020-09-23T19:35:00Z,-0.6249,0.272,0.0,0.728
refugee,Fox News,Morgan Phillips,Trump says Joe Biden 'will turn Minnesota into a refugee camp',https://www.foxnews.com/politics/trump-rally-minnesota,"President Trump told a crowd of supporters in Bemidji, Minnesota that Joe Biden ""will turn Minnesota into a refugee camp.""
The president hit refugees, in particular Somali nationals, who committed c… [+5123 chars]",2020-09-19T00:23:39Z,0.0,0.0,0.0,1.0
refugee,Fox News,Audrey Conklin,"In Minnesota Biden would open 'flood gates' to terrorism, Trump says",https://www.foxnews.com/politics/minnesota-trump-biden-terrorism,"During a rally in Duluth, Minn., on Wednesday, President Trump said that Democratic presidential nominee Joe Biden would turn Minnesota into a ""refugee camp"" and open ""the flood gates to radical Isla… [+3168 chars]",2020-10-01T15:08:33Z,-0.6808,0.315,0.0,0.685
refugee,Fox News,Naledi Ushe,Angelina Jolie gives generous donation to boys’ lemonade stand raising money for Yemen,https://www.foxnews.com/entertainment/angelina-jolie-donates-yemen-relief-boys-lemonade-stand-raising-money,"Angelina Jolie made an “extremely generous” donation to two 6-year-old boys who set up a lemonade stand fundraiser for Yemen amid its humanitarian crisis.
Although Jolie, 45, never visited Ayaan Moo… [+2529 chars]",2020-09-14T12:32:25Z,0.5106,0.0,0.216,0.784
refugee,Fox News,Brie Stimson,Ilhan Omar fires back after Trump's rally attack: 'This is my country',https://www.foxnews.com/politics/ilhan-omar-fires-back-after-trumps-rally-attack-this-is-my-country,"Rep. Ilhan Omar, D-Minn., fired back at President Trump on Tuesday night after he told a rally crowd she was lecturing Republicans on how to run the country and referenced her native Somalia.
“She’s… [+1881 chars]",2020-09-23T09:34:28Z,-0.4767,0.22,0.0,0.78
refugee,Fox News,Evie Fordham,Brad Parscale faces attacks from Trump critics after hospitalization,https://www.foxnews.com/politics/brad-parscale-hospitalized-fort-lauderdale-trump,"Critics of President Trump took aim at his former campaign manager Brad Parscale after officials said Parscale was hospitalized after threatening to harm himself on Sunday night.
TRUMP'S EX-CAMPAIGN… [+2861 chars]",2020-09-28T16:34:42Z,-0.6249,0.421,0.0,0.579
refugee,Fox News,Hollie McKay,"How US can help China's Uighurs, who suffer disappearances, forced abortions, other atrocities",https://www.foxnews.com/world/uighurs-china-united-states-human-rights,"For Ziba Murat, waiting for word of what became of her ailing mother after she abruptly disappeared in the Muslim-majority Xinjian region of northwestern China following a fractured phone conversatio… [+10268 chars]",2020-09-17T19:07:01Z,-0.5859,0.339,0.141,0.521
refugee,Fox News,Chris Stirewalt,"Pelosi, Mnuchin try to jam Senate GOP",https://www.foxnews.com/politics/pelosi-mnuchin-try-to-jam-senate-gop,"**Want FOX News Halftime Report in your inbox every day? Sign up here.**
On the roster: Pelosi, Mnuchin try to jam Senate GOP - I’ll Tell You What: You gotta pay the cost to be the boss - Commission… [+28401 chars]",2020-10-01T19:43:20Z,0.0,0.0,0.0,1.0
refugee,CBS News,Camilo Montoya-Galvez,"Trump administration sets refugee cap at 15,000, a record low",https://www.cbsnews.com/news/trump-administration-refugee-resettlement-cap-historic-low/,"The Trump administration said it is planning to take in no more than 15,000 refugees in fiscal year 2021, slashing resettlement spots to yet another historic low as millions of people around the worl… [+4240 chars]",2020-10-01T15:15:15Z,-0.2732,0.208,0.0,0.792
refugee,CBS News,George Baghdadi,"As country crumbles, Syrians face ""terrifying"" option of refugee life",https://www.cbsnews.com/news/syria-war-refugees-difficult-decision-as-economy-collapses-under-civil-war-and-sanctions/,"Damascus — Saleem sees no hope for his future in Syria. At just 25, he's made a good living as a singer at a restaurant in the capital's old town. Now he's saving whatever he can to finance what he e… [+4324 chars]",2020-09-17T09:32:30Z,0.0,0.0,0.0,1.0
refugee,CBS News,CBS News,"10/11/2020: Genetic Revolution, The Youngest Refugees, Vision of Music",https://www.cbsnews.com/video/10112020-genetic-revolution-the-youngest-refugees-vision-of-music/,,2020-10-12T03:00:34Z,0.25,0.0,0.2,0.8
refugee,CBS News,CBS News,Emotional coping tactics for young kids,https://www.cbsnews.com/news/sesame-street-teaching-children-refugees-from-syria-to-cope-with-emotions-60-minutes-2020-10-11/,"With the average length of refugee displacement approaching 20 years, non-governmental organizations (NGOs) have had to rethink their approaches to providing services for this vulnerable population. … [+2524 chars]",2020-10-12T00:41:53Z,0.1531,0.0,0.242,0.758
refugee,CBS News,Lesley Stahl,Sesame and the IRC join forces to help Syrian refugee children,https://www.cbsnews.com/news/sesame-street-international-rescue-committee-help-syria-refugee-children-60-minutes-2020-10-11/,"There are more people living as refugees around the world today than at any time since World War II. And with conflicts dragging on for years, being a refugee now often means not going home for decad… [+11700 chars]",2020-10-12T00:44:24Z,0.5994,0.0,0.353,0.647
refugee,CBS News,CBS News,Sesame and the IRC join forces to help Syrian refugee children,https://www.cbsnews.com/video/sesame-street-international-rescue-committee-help-syria-refugee-children-60-minutes-2020-10-11/,,2020-10-12T00:20:29Z,0.5994,0.0,0.353,0.647
