Keyword,Source,Author,Title,URL,Text,Published
immigrants,NBC News,Kimmy Yam,Biden launches initiative with lawmakers to reach Asian Americans in battleground states,https://www.nbcnews.com/news/asian-america/biden-launches-initiative-lawmakers-reach-asian-americans-battleground-states-n1241621,"Asian American members of Congress are teaming up with Joe Bidens campaign for an initiative to reach out to Asian American and Pacific Islander (AAPI) voters.
The lawmakers will join the official A… [+5357 chars]",2020-09-30T23:00:15Z
immigrants,NBC News,"Janet Alvarez, CNBC","Amid Covid crisis, these Latino businesses are thriving",https://www.nbcnews.com/news/latino/amid-covid-crisis-these-latino-businesses-are-thriving-strengthening-their-n1242456,"When Jennifer Rodriguez relocated to Philadelphia in the late 90s, the once-bustling South Philly neighborhood of Italian Market was in decay.
It was a place experiencing disinvestment, and many won… [+9056 chars]",2020-10-07T20:28:10Z
immigrants,NBC News,Reuters,German police officers suspended for sharing pictures of Hitler,https://www.nbcnews.com/news/world/german-police-officers-suspended-sharing-pictures-adolf-hitler-n1240247,"DUESSELDORF, Germany - Twenty-nine police officers have been suspended in Germany for sharing pictures of Adolf Hitler and doctored depictions of refugees in gas chambers on their mobile phones, offi… [+1657 chars]",2020-09-16T18:46:38Z
immigrants,NBC News,Saloni Gajjar,"New film dismantles South Asian stereotypes tied to spelling bee, mental health",https://www.nbcnews.com/news/asian-america/new-film-dismantles-south-asian-stereotypes-tied-spelling-bee-mental-n1241618,"In the opening moments of Definition Please, a young Monica Chowdry wins the Scripps National Spelling Bee in 2005. Now, 15 years later, she tutors prospective young spellers and lives with her mothe… [+5794 chars]",2020-10-06T14:26:12Z
immigrants,NBC News,The Associated Press,Latino construction workers have fueled the building boom—at a price,https://www.nbcnews.com/news/latino/latino-construction-workers-have-enabled-construction-boom-cost-documentary-shows-n1240027,"RIO RANCHO, N.M. Since the Great Recession, cities like Dallas, Houston, Phoenix, and Hobbs, New Mexico, have seen construction booms. Homes and skyscrapers have popped up almost overnight thanks to … [+2063 chars]",2020-09-14T16:13:13Z
immigrants,NBC News,Pete Williams,Supreme Court allows Trump administration to end census count early,https://www.nbcnews.com/politics/supreme-court/supreme-court-allows-trump-administration-end-census-count-early-n1243240,"The U.S. Supreme Court on Tuesday effectively allowed the government to stop the census count immediately, blocking a lower court order that would have required the Trump administration to continue g… [+2052 chars]",2020-10-13T21:17:32Z
immigrants,NBC News,Deepa Shivaram and Marianna Sotomayor,"Kamala Harris uses personal story to court recent immigrants, communities of color",https://www.nbcnews.com/politics/2020-election/kamala-harris-uses-personal-story-court-recent-immigrants-communities-color-n1240703,"WASHINGTON Sen. Kamala Harris has hewed mostly to campaign events outside the glaring spotlight of the day-to-day news cycle since becoming the Democratic vice presidential nominee last month, ventur… [+5542 chars]",2020-09-22T16:10:00Z
immigrants,NBC News,Reuters,Rights group denounces Central America anti-LGBTQ violence,https://www.nbcnews.com/feature/nbc-out/rights-group-denounces-central-america-anti-lgbtq-violence-n1242599,"MONTERREY, Mexico - Human Rights Watch criticized Honduras, El Salvador, and Guatemala for failing to stop violence against LGBTQ people in a new report published on Wednesday, which also denounced t… [+1556 chars]",2020-10-08T14:35:29Z
immigrants,NBC News,Nicole Acevedo,"Latino workers are at increased risk of dying on the job, new report says",https://www.nbcnews.com/news/latino/latino-workers-are-increased-risk-dying-job-new-report-says-n1242284,"Latino workers, especially whose who are immigrants, continue to be at increased risk of dying on the job, according to a new report published Tuesday by the American Federation of Labor and Congress… [+3305 chars]",2020-10-06T19:03:52Z
immigrants,NBC News,Julia Ainsley,Cameroonian asylum seekers pulled off deportation plane amid allegations of ICE abuse,https://www.nbcnews.com/politics/immigration/cameroonian-asylum-seekers-pulled-deportation-plane-amid-allegations-ice-abuse-n1243468,Two Cameroonian men slated for deportation from the United States were pulled off an ICE flight moments before takeoff on Tuesday as part of an investigation into abuse they alleged they endured in U… [+3729 chars],2020-10-14T23:22:00Z
